Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,"BIRMINGHAM,AL",193001-201512,0.8,0.2,0.3,0.1,0,0,0,0,0,0,0,0.2,1.6
3856,"HUNTSVILLE,AL",195809-201512,1.5,1.1,0.4,0,0,0,0,0,0,0,0.1,0.7,3.8
13894,"MOBILE,AL",194801-201512,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.4
13895,"MONTGOMERY,AL",194801-201512,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.4
26451,"ANCHORAGE,AK",195302-201512,10.4,12.1,9.9,5.2,0.3,0,0,0,0.4,7.3,12.1,16,73.7
25308,"ANNETTE,AK",194101-201512,10.7,9.2,7.8,1.9,0.1,0,0,0,0,0.1,3.5,9.8,43.1
27502,"BARROW,AK",190201-201512,2.6,2.7,2.2,2.8,2.2,0.6,0.5,0.7,3.8,7.8,4.8,3.2,33.9
26615,"BETHEL,AK",192309-201512,8,7.3,8.6,5.1,1.6,0.1,0,0,0.4,3.8,8.9,10.1,53.9
26533,"BETTLES,AK",195105-201511,12.4,11.5,9.4,6.5,1.1,0,0,0,2.3,11.9,14.8,14.9,84.8
26415,"BIG DELTA,AK",191706-199711,5.6,5.2,4.2,2.8,0.6,0.4,0,0,1.6,9.2,8.4,5.8,43.8
25624,"COLD BAY,AK",195003-201512,12.3,11.6,11.9,6.6,1.6,0,0,0,0,2.8,8.1,11.6,66.5
26411,"FAIRBANKS,AK",192912-201512,11,8.5,6.4,3.2,0.7,0,0,T,1.4,10,11.9,11.4,64.5
26425,"GULKANA,AK",190903-200107,7.7,7.2,5.1,2.8,0.6,0,0,0.1,1.1,7.8,8.7,10,51.1
25507,"HOMER,AK",193209-199711,9.5,11.3,9.2,2.8,0.3,0,0,0,0,2.1,7.4,12.1,54.7
25309,"JUNEAU,AK",193611-201511,26.1,18.5,13.8,2.6,0,0,0,0,0,1,12.6,21.6,96.2
25503,"KING SALMON,AK",194202-201512,8.2,6.8,7.6,4.5,0.9,0,0,0,0,3.2,6.6,9.4,47.2
25501,"KODIAK,AK",194901-201512,15.5,15.8,14.7,7.4,0.5,0,0,0,0,1.8,6.3,13.9,75.9
26616,"KOTZEBUE,AK",192905-201512,7.6,7.7,5.8,5.2,1.4,0.1,0,0,1,6.1,8.7,8.7,52.3
26510,"MCGRATH,AK",193907-201512,14.6,12.1,11,6.3,0.7,T,0,0,1,9.5,16.9,18.4,90.5
26617,"NOME,AK",190610-201512,10.8,9.8,8.8,6.8,2,0.2,0,0,0.4,4.9,10.3,10.8,64.8
25713,"ST. PAUL ISLAND,AK",194901-201512,12.5,10.6,10.1,6.1,1.8,0.1,0,0,0,2.5,7.2,10.3,61.2
26528,"TALKEETNA,AK",191808-199712,20,20.1,19.5,8.6,0.8,0,0,0,0.6,10.7,18.2,22.4,120.9
26442,"VALDEZ,AK",191706-201402,59.2,53,42.2,17.6,2.2,0,0,0,0.3,8.8,35.3,60.8,279.4
25339,"YAKUTAT,AK",191704-201512,32.7,31.9,32,12.3,0.9,0,0,0,0,3.9,18.8,31.5,164
3103,"FLAGSTAFF,AZ",189301-201512,19.9,16.1,17.5,7.2,1.7,0,0,0,0.1,1.6,8.5,15.5,88.1
23183,"PHOENIX,AZ",193307-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
23160,"TUCSON,AZ",194606-201512,0.3,0.2,0.2,0,0,0,0,0,0,0,0.1,0.2,1
23194,"WINSLOW,AZ",189810-201006,2.6,1.8,1.7,0.5,0,0,0,0,0,0.2,0.9,3.5,11.2
