GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
601,14031,3477,5818,11757,18970
602,32412,11714,12719,16190,24179
603,41064,12021,19009,16645,27627
606,5179,1503,1959,13387,16739
610,22797,8414,9120,18741,25085
612,51267,15231,23037,17744,25454
616,9257,2796,3606,14918,23073
617,19688,5468,8079,17157,22839
622,6361,1525,2330,16727,32910
623,34603,10956,14165,16401,24124
624,18345,5714,7690,16832,23157
627,26986,8881,11571,17579,26405
631,1406,357,615,9632,16679
637,19377,5338,7568,15736,24481
638,13842,3280,6033,14448,21401
641,23314,5892,9104,16292,22780
646,30337,11652,12075,29160,45044
647,4876,1151,1866,13071,16271
650,11856,3663,5051,16095,21530
652,2843,957,1335,20564,27512
653,9159,2109,3662,12236,18561
656,15677,4418,6566,14966,22116
659,33685,11936,14443,17770,27132
660,13750,4692,6271,19674,27174
662,33912,10062,14482,16771,23436
664,12377,3098,4850,15401,20527
667,20072,4916,8153,13843,20081
669,21792,5914,9727,12996,21000
670,7101,2313,3006,14456,20031
674,33225,10754,15726,18032,26790
676,30464,8302,13035,13416,20904
677,12256,4227,5092,18333,24840
678,21762,7066,9179,15730,23860
680,40911,12364,18602,14500,24278
682,27120,7694,11718,15315,28953
683,26123,8132,11368,15043,24598
685,31790,8263,14338,14128,20660
687,25495,8495,10129,18739,24517
688,10505,3009,4244,15918,22204
690,4574,1473,2313,18491,24927
692,28850,8987,11756,18076,29906
693,45905,14522,18246,18971,27592
694,88,0,46,14375,15296
698,30803,8709,10713,14487,22088
703,22229,7290,8642,16532,27068
704,6099,2284,2803,13960,19484
705,19471,5876,8529,18207,26602
707,9264,2113,3958,17489,23835
714,14739,3707,6091,15820,20483
715,2848,744,1300,12440,19302
716,23934,7355,11256,18514,31881
717,13871,3932,6686,11269,23276
718,20729,6929,8284,18998,28111
719,24088,7658,8887,18401,25823
720,17493,4302,6676,14533,20147
723,14617,3775,6519,14554,21608
725,67651,25697,30699,20374,31965
727,45730,20195,20122,30797,41772
728,32908,10704,13450,18097,25654
729,41852,15063,16482,20508,30844
730,26489,7760,12051,15367,27669
731,11338,4041,4482,16389,26823
735,10518,3602,4594,18947,30978
736,39956,14107,17409,20166,32084
738,25540,9150,11823,19284,27594
739,29889,11074,11876,20619,31088
740,1230,305,613,12934,16255
741,4418,1290,1573,22766,26232
745,43065,16408,16178,22909,30919
751,17837,5761,8296,16188,22532
754,31484,11028,13633,18594,27237
757,17731,7017,7759,16816,26498
765,7000,2871,2473,16149,22628
766,19271,6598,7907,19595,29717
767,28532,7376,11997,15573,22280
769,32013,10948,13706,19215,27114
771,30498,9468,12385,20332,28236
772,16602,5046,6768,15032,20810
773,15488,5272,6636,19377,28238
775,1215,675,512,23092,27277
777,32653,11090,12850,18684,25189
778,37612,16915,15181,32708,47252
780,9290,4013,4081,21834,39958
782,14693,4059,5635,13073,18254
783,27461,7504,10847,14476,22491
784,33554,9261,14568,15653,23762
786,249,73,96,-,32291
791,40503,13369,16797,18595,30874
794,23095,6001,9122,15667,22386
795,36399,13745,15299,20430,28912
901,5723,2139,2696,16929,61360
906,91,85,68,101346,93374
907,14887,7731,8780,32601,71475
909,4481,2051,2452,17959,31456
911,6656,3433,3805,30978,55145
912,5314,2542,2528,21744,34358
913,5612,1543,3470,5902,16943
915,22724,9129,11214,14048,20728
917,15908,6532,8273,15508,28992
918,13771,6068,8208,23333,40964
920,14091,6563,6874,25433,34035
921,28767,11696,13599,18690,29913
923,20090,7087,10045,14041,25425
924,40836,15901,19373,19303,31214
925,6373,2441,3178,9903,19862
926,82912,38507,37216,33624,58053
927,11865,5105,5831,32932,55916
934,25,25,25,-,N
936,749,0,0,-,-
949,62163,26191,25855,26032,34442
950,0,0,0,-,-
951,0,0,0,-,-
952,6875,2606,2988,15434,22387
953,58434,25315,21798,29837,43266
956,56445,23342,25459,23322,31030
957,33110,13116,14764,24438,34086
959,39613,19139,18297,29737,40163
960,2454,0,0,-,-
961,26558,10475,11349,28455,43329
962,15709,5569,7005,16135,25971
965,6275,2267,2748,15369,24430
966,13744,6534,6208,51318,91405
968,2990,1413,1825,45811,78099
969,35751,18287,15099,51604,75543
971,23477,10124,9503,20604,36488
976,48855,22368,21413,30801,43596
979,13621,7281,7713,34284,57307
982,12299,4888,6014,25935,33124
983,30378,13250,14156,27149,34631
985,27049,11050,12677,24834,33814
987,47362,22357,21665,32967,43958
1001,14688,8648,7460,57694,74096
1002,26941,14835,9976,52379,80304
1003,11131,3543,31,"2,500-",N
1005,4160,2660,1785,70325,95958
1007,12173,8392,5558,86165,104812
1008,1107,678,548,62750,78022
